"X","latitude","longitude","co2_diff","pm2_5_diff","pm10_diff"
1,38.02478,-78.48458,7.74651725741035,-0.0118309046313663,0.0492593661328331
2,38.025092,-78.503586,45.9681188787572,-0.0369920072047731,-0.385860632669143
3,38.02557,-78.51661,110.337778636774,-0.377850792423657,-0.999291328437057
4,38.025759,-78.469295,33.4008611836507,-0.0347627710454508,-0.00504680026994508
5,38.02758,-78.515191,-85.3360094850948,-0.384214092140921,-0.269478319783198
6,38.029883,-78.484047,-1.15830419931689,0.256207889625611,0.231531712544371
7,38.030613,-78.479057,-151.85340125198,0.705382020824167,0.876429468986598
8,38.045801,-78.503947,54.990120967742,-0.213037634408602,-0.453629032258065
9,38.04745,-78.48303,-173.639700715027,0.438347072406216,0.370823898178411
10,38.06546,-78.49582,-288.628333155518,0.247018030513176,0.310003911945659
