,dev_id,latitude,longitude,co2,pm25,pm10
0,2.0,38.02599999999988,-78.50100000000025,444.7634069400631,1.8430599369085174,1.9369085173501577
1,3.0,38.01998299999932,-78.4736019999987,446.7708333333333,1.2786458333333333,1.6184895833333333
2,4.0,38.04744999999891,-78.48303000000176,438.45299910474483,1.666965085049239,1.9937332139659802
3,5.0,38.035619999999966,-78.4919010999998,572.7335907335907,1.6177606177606179,1.8436293436293436
4,6.0,38.02757999999995,-78.5151910000002,397.8018018018018,1.981981981981982,2.1531531531531534
5,7.0,38.025569999999824,-78.51660999999964,652.9970845481049,1.338192419825073,1.58600583090379
6,8.0,38.02988300000065,-78.48404700000278,370.73080967402734,1.9826498422712935,2.426919032597266
7,9.0,38.02575899999829,-78.46929500000145,432.3563551944283,1.9947765525246663,2.255948926291352
8,10.0,38.03061300000023,-78.47905700000025,322.57401812688823,3.498489425981873,3.9274924471299095
9,11.0,38.02988300000049,-78.48404700000286,478.90682281059065,1.534623217922607,1.7627291242362526
