date, pm25, pm10, o3, no2, so2, co
2019/10/6, 45, 21, 35, 27, 2, 
2019/10/7, 38, 22, 22, 41, 3, 
2019/10/8, 42, 25, 28, 38, 3, 
2019/10/9, 42, 31, 29, 33, 3, 
2019/10/10, 53, 27, 30, 35, 3, 
2019/10/11, 44, 33, 28, 30, 2, 
2019/10/12, 58, 30, 25, 15, 2, 
2019/10/13, 51, 26, 30, 21, 2, 
2019/10/14, 48, 26, 28, 19, 2, 
2019/10/15, 53, 11, 23, 17, 2, 
2019/10/16, 21, 12, 28, 25, 2, 
2019/10/17, 25, 16, 20, 27, 2, 
2019/10/18, 37, 15, 16, 19, 2, 
2019/10/19, 41, 13, 25, 13, 2, 
2019/10/20, 33, 8, 24, 12, 4, 
2019/10/21, 22, 8, 21, 26, 2, 
2019/10/22, 25, 10, 18, 23, 2, 
2019/10/23, 26, 9, 20, 20, 2, 
2019/10/24, 26, 11, 27, 23, 2, 
2019/10/25, 24, 21, 16, 37, 3, 
2019/10/26, 52, 31, 20, 35, 3, 
2019/10/27, 71, 23, 21, 32, 3, 
2019/10/28, 59, 25, 25, 32, 3, 
2019/10/29, 61, 34, 9, 34, 2, 
2019/10/30, 79, 45, 19, 29, 2, 
2019/10/31, 99, 21, 21, 21, 2, 
2019/11/1, 53, 18, 14, 13, 2, 
2019/11/2, 50, 19, 23, 10, 2, 
2019/11/3, 46, 11, 33, 10, 2, 
2019/11/4, 26, 12, 26, 13, 2, 
2019/11/5, 20, 9, 25, 19, 3, 
2019/11/6, 19, 9, 23, 20, 2, 
2019/11/7, 19, 10, 27, 18, 4, 
2019/11/8, 22, 6, 26, 13, 3, 
2019/11/9, 16, 8, 25, 14, 2, 
2019/11/10, 17, 7, 26, 15, 2, 
2019/11/11, 18, 10, 19, 26, 3, 
2019/11/12, 28, 14, 25, 28, 3, 
2019/11/13, 33, 11, 22, 16, 3, 
2019/11/14, 25, 8, 17, 13, 5, 
2019/11/15, 21, 6, 22, 15, 3, 
2019/11/16, 14, 9, 26, 20, 3, 
2019/11/17, 21, 11, 23, 16, 2, 
2019/11/18, 31, 9, 21, 26, 3, 
2019/11/19, 30, 19, 13, 37, 4, 
2019/11/20, 47, 20, 8, 30, 3, 
2019/11/21, 55, 22, 6, 28, 5, 
2019/11/22, 66, 12, 20, 24, 2, 
2019/11/23, 38, 11, 32, 17, 2, 
2019/11/24, 34, 10, 29, 15, 2, 
2019/11/25, 29, 15, 21, 18, 2, 
2019/11/26, 40, 16, 18, 20, 2, 
2019/11/27, 39, 14, 24, 17, 2, 
2019/11/28, 34, 20, 22, 20, 2, 
2019/11/29, 49, 17, 21, 19, 2, 
2019/11/30, 45, 15, 23, 15, 2, 
2019/12/1, 42, 13, 17, 19, 6, 
2019/12/2, 41, 10, 23, 17, 3, 
2019/12/3, 29, 10, 21, 20, 3, 
2019/12/4, 31, 12, 18, 22, 3, 
2019/12/5, 36, 11, 20, 21, 3, 
2019/12/6, 32, 13, 19, 20, 3, 
2019/12/7, 40, 26, 9, 27, 3, 
2019/12/8, 72, 31, 3, 26, 2, 
2019/12/9, 84, 25, 13, 23, 2, 
2019/12/10, 72, 39, 3, 33, 3, 
2019/12/11, 95, 27, 24, 26, 3, 
2019/12/12, 68, 15, 24, 20, 2, 
2019/12/13, 43, 13, 27, 20, 3, 
2019/12/14, 38, 9, 23, 15, 3, 
2019/12/15, 39, 13, 23, 17, 2, 
2019/12/16, 49, 18, 18, 20, 3, 
2019/12/17, 55, 19, 19, 21, 2, 
2019/12/18, 60, 22, 18, 27, 3, 
2019/12/19, 63, 18, 18, 21, 3, 
2019/12/20, 57, 12, 25, 17, 2, 
2019/12/21, 43, 14, 28, 10, 3, 
2019/12/22, 50, 22, 28, 11, 2, 
2019/12/23, 56, 21, 27, 28, 3, 
2019/12/24, 55, 31, 7, 33, 5, 
2019/12/25, 83, 24, 10, 27, 4, 
2019/12/26, 74, 27, 9, 30, 4, 
2019/12/27, 74, 21, 12, 40, 6, 
2019/12/28, 55, 33, 7, 50, 6, 
2019/12/29, 83, 28, 10, 39, 5, 
2019/12/30, 75, , , , , 
2019/7/2, 71, 39, 58, 19, 5, 
2019/7/3, 64, 35, 50, 16, 5, 
2019/7/4, 62, 33, 46, 14, 4, 
2019/7/5, 61, 38, 45, 20, 4, 
2019/7/6, 63, 31, 42, 17, 5, 
2019/7/7, 51, 23, 45, 16, 4, 
2019/7/8, 46, 23, 42, 14, 4, 
2019/7/9, 45, 22, 52, 16, 4, 
2019/7/10, 57, 17, 61, 18, 4, 
2019/7/11, 39, 27, 66, 33, 4, 
2019/7/12, 53, 32, 46, 23, 2, 
2019/7/13, 59, 48, 43, 19, , 
2019/7/14, 68, 40, 33, 8, 2, 
2019/7/15, 64, 22, 47, 21, 4, 
2019/7/16, 53, 24, 53, 22, 4, 
2019/7/17, 46, 33, 51, 18, 4, 
2019/7/18, 56, 29, 70, 17, 5, 
2019/7/19, 56, 25, 57, 14, 5, 
2019/7/20, 50, 27, 59, 8, 5, 
2019/7/21, 50, 33, 51, 6, 5, 
2019/7/22, 53, 36, 42, 12, 5, 
2019/7/23, 52, 37, 45, 12, 5, 
2019/7/24, 53, 40, 54, 18, 5, 
2019/7/25, 57, 35, 39, 24, 5, 
2019/7/26, 59, 27, 30, 16, 4, 
2019/7/27, 51, 16, 29, 9, 4, 
2019/7/28, 37, 11, 36, 8, 3, 
2019/7/29, 26, 15, 33, 17, 2, 
2019/7/30, 35, 14, 41, 11, , 
2019/7/31, 33, 25, 42, 10, , 
2019/8/1, 52, 40, 42, 12, 2, 
2019/8/2, 67, 27, 55, 17, 2, 
2019/8/3, 58, 24, 52, 15, 2, 
2019/8/4, 55, 29, 47, 13, 2, 
2019/8/5, 65, 25, 44, 20, 2, 
2019/8/6, 56, 23, 43, 16, 2, 
2019/8/7, 42, 19, 28, 11, 4, 
2019/8/8, 32, 15, 30, 11, 4, 
2019/8/9, 29, 21, 16, 7, 3, 
2019/8/10, 35, 21, 40, 8, 3, 
2019/8/11, 29, 18, 42, 8, 3, 
2019/8/12, 39, 21, 39, 10, 3, 
2019/8/13, 47, 16, 41, 11, 3, 
2019/8/14, 41, 17, 51, 17, 2, 
2019/8/15, 47, 19, 45, 18, 2, 
2019/8/16, 61, 18, 43, 13, 2, 
2019/8/17, 58, 19, 43, 21, 2, 
2019/8/18, 66, 23, 42, 19, 2, 
2019/8/19, 66, 21, 33, 16, 2, 
2019/8/20, 55, 16, 35, 10, 2, 
2019/8/21, 52, 16, 41, 11, 2, 
2019/8/22, 50, 19, 46, 23, 3, 
2019/8/23, 60, 20, 56, 24, 2, 
2019/8/24, 62, 21, 61, 24, 2, 
2019/8/25, 62, 21, 44, 9, 2, 
2019/8/26, 59, 18, 34, 14, 3, 
2019/8/27, 54, 18, 47, 17, 2, 
2019/8/28, 51, 21, 58, 30, 2, 
2019/8/29, 58, 25, 60, 32, 2, 
2019/8/30, 65, 25, 55, 23, 2, 
2019/8/31, 61, 25, 55, 32, 2, 
2019/9/1, 65, 26, 44, 28, 2, 
2019/9/2, 68, 23, 45, 17, 2, 
2019/9/3, 62, 21, 46, 21, 2, 
2019/9/4, 55, 21, 55, 25, 2, 
2019/9/5, 55, 19, 32, 11, 2, 
2019/9/6, 51, 14, 35, 14, 2, 
2019/9/7, 41, 14, 43, 14, 2, 
2019/9/8, 37, 17, 44, 13, 2, 
2019/9/9, 49, 21, 40, 22, 2, 
2019/9/10, 56, 27, 27, 11, 2, 
2019/9/11, 47, 13, 37, 12, 2, 
2019/9/12, 37, 18, 36, 22, 2, 
2019/9/13, 47, 20, 32, 19, 2, 
2019/9/14, 53, 20, 27, 14, 4, 
2019/9/15, 61, 23, 27, 16, 1, 
2019/9/16, 65, 24, 33, 27, 1, 
2019/9/17, 62, 28, 46, 26, 2, 
2019/9/18, 73, 25, 38, 29, 2, 
2019/9/19, 68, 26, 43, 31, 2, 
2019/9/20, 69, 30, 34, 19, 2, 
2019/9/21, 75, 27, 28, 18, 3, 
2019/9/22, 71, 22, 29, 12, 2, 
2019/9/23, 62, 15, 30, 26, 2, 
2019/9/24, 47, 22, 31, 28, 2, 
2019/9/25, 60, 19, 28, 22, 2, 
2019/9/26, 56, 17, 34, 29, 2, 
2019/9/27, 50, 25, 39, 37, 3, 
2019/9/28, 65, 19, 34, 32, 3, 
2019/9/29, 53, 24, 31, 27, 2, 
2019/9/30, 57, 22, 36, 40, 3, 
2019/10/1, 55, 29, 30, 36, 3, 
2019/4/2, 35, 18, 35, 30, 4, 
2019/4/3, 41, 20, 41, 25, 4, 
2019/4/4, 47, 14, 43, 26, 4, 
2019/4/5, 30, 13, 37, 25, 2, 
2019/4/6, 27, 10, 38, 17, 4, 
2019/4/7, 25, 9, 40, 16, 2, 
2019/4/8, 21, 10, 41, 25, 4, 
2019/4/9, 30, 11, 37, 26, 4, 
2019/4/10, 28, 11, 37, 25, 5, 
2019/4/11, 23, 11, 40, 25, 5, 
2019/4/12, 25, 13, 46, 30, 4, 
2019/4/13, 29, 18, 52, 31, 4, 
2019/4/14, 47, 19, 36, 19, 4, 
2019/4/15, 49, 22, 39, 25, 4, 
2019/4/16, 51, 18, 44, 26, 4, 
2019/4/17, 33, 20, 39, 20, 4, 
2019/4/18, 41, 20, 43, 15, 4, 
2019/4/19, 40, 7, 34, 15, 4, 
2019/4/20, 22, 12, 47, 10, 4, 
2019/4/21, 36, 13, 43, 7, 4, 
2019/4/22, 33, 15, 41, 22, 4, 
2019/4/23, 42, 12, 42, 23, 4, 
2019/4/24, 34, 8, 32, 22, 4, 
2019/4/25, 17, 8, 36, 12, 4, 
2019/4/26, 18, 11, 40, 22, 4, 
2019/4/27, 23, 14, 38, 28, 4, 
2019/4/28, 35, 15, 43, 19, 4, 
2019/4/29, 42, 13, 40, 25, 4, 
2019/4/30, 31, 15, 41, 25, 4, 
2019/5/1, 34, 14, 29, 10, 4, 
2019/5/2, 33, 12, 50, 12, 4, 
2019/5/3, 29, 12, 36, 16, 2, 
2019/5/4, 31, 10, 43, 11, 4, 
2019/5/5, 23, 9, 43, 11, 4, 
2019/5/6, 23, 13, 46, 31, 4, 
2019/5/7, 28, 21, 36, 23, 4, 
2019/5/8, 43, 15, 32, 17, 4, 
2019/5/9, 27, 15, 34, 21, 4, 
2019/5/10, 27, 13, 24, 18, 4, 
2019/5/11, 25, 15, 44, 18, 4, 
2019/5/12, 32, 12, 43, 12, 4, 
2019/5/13, 27, 11, 41, 24, 4, 
2019/5/14, 25, 15, 59, 28, 4, 
2019/5/15, 31, 25, 44, 30, 4, 
2019/5/16, 46, 19, 45, 25, 4, 
2019/5/17, 41, 21, 41, 19, 3, 
2019/5/18, 38, 10, 37, 10, 4, 
2019/5/19, 19, 8, 43, 12, 3, 
2019/5/20, 19, 8, 38, 19, 4, 
2019/5/21, 20, 15, 47, 25, 4, 
2019/5/22, 32, 15, 52, 26, 4, 
2019/5/23, 38, 24, 46, 36, 4, 
2019/5/24, 51, 21, 38, 17, 4, 
2019/5/25, 44, 11, 36, 9, 4, 
2019/5/26, 27, 9, 35, 9, 4, 
2019/5/27, 24, 11, 37, 21, 4, 
2019/5/28, 30, 13, 41, 15, 4, 
2019/5/29, 28, 12, 33, 15, 4, 
2019/5/30, 31, 11, 37, 21, 4, 
2019/5/31, 26, 17, 52, 28, 4, 
2019/6/1, 32, 23, 55, 23, 5, 
2019/6/2, 52, 23, 56, 19, 4, 
2019/6/3, 51, 23, 51, 34, 4, 
2019/6/4, 55, 26, 38, 24, 4, 
2019/6/5, 50, 19, 36, 17, 4, 
2019/6/6, 35, 16, 42, 21, 3, 
2019/6/7, 30, 17, 39, 18, 5, 
2019/6/8, 31, 13, 46, 15, 4, 
2019/6/9, 26, 25, 41, 11, 4, 
2019/6/10, 44, 18, 42, 16, 4, 
2019/6/11, 34, 13, 37, 12, 4, 
2019/6/12, 28, 9, 44, 19, 4, 
2019/6/13, 18, 17, 47, 20, 4, 
2019/6/14, 37, 23, 40, 21, 4, 
2019/6/15, 49, 18, 44, 13, 4, 
2019/6/16, 35, 20, 46, 19, 4, 
2019/6/17, 39, 26, 47, 27, 5, 
2019/6/18, 55, 25, 44, 24, 4, 
2019/6/19, 56, 25, 29, 13, 4, 
2019/6/20, 39, 22, 33, 21, 4, 
2019/6/21, 35, 21, 39, 16, 4, 
2019/6/22, 39, 20, 43, 15, 4, 
2019/6/23, 40, 28, 43, 21, 4, 
2019/6/24, 57, 29, 37, 18, 4, 
2019/6/25, 60, 31, 40, 20, 4, 
2019/6/26, 54, 38, 42, 19, 4, 
2019/6/27, 64, 50, 39, 18, 5, 
2019/6/28, 81, 47, 44, 22, 5, 
2019/6/29, 81, 28, 62, 19, 5, 
2019/6/30, 67, 33, 50, 18, 5, 
2019/7/1, 72, 37, 46, 21, 5, 
2019/1/2, 95, 41, 151, 47, 9, 
2019/1/3, 85, 29, 17, 37, 7, 
2019/1/4, 63, 40, 8, 44, 8, 
2019/1/5, 79, 39, 6, 45, 7, 
2019/1/6, 82, 44, 7, 53, 11, 
2019/1/7, 102, 33, 9, 50, 9, 
2019/1/8, 71, 39, 11, 47, 8, 
2019/1/9, 70, 29, 10, 41, 8, 
2019/1/10, 59, 15, 23, 29, 5, 
2019/1/11, 40, 26, 19, 42, 6, 
2019/1/12, 57, 28, 19, 37, 6, 
2019/1/13, 64, 33, 12, 39, 5, 
2019/1/14, 76, 58, 4, 68, 5, 
2019/1/15, 122, 56, 13, 47, 5, 
2019/1/16, 102, 44, 18, 32, 4, 
2019/1/17, 86, 46, 12, 34, 4, 
2019/1/18, 110, 39, 11, 25, 5, 
2019/1/19, 83, 26, 10, 22, 4, 
2019/1/20, 67, 17, 21, 15, 5, 
2019/1/21, 54, 14, 17, 24, 5, 
2019/1/22, 38, 18, 25, 35, 4, 
2019/1/23, 49, 14, 25, 18, 4, 
2019/1/24, 31, 15, 25, 29, 3, 
2019/1/25, 34, 16, 19, 35, 5, 
2019/1/26, 36, 19, 25, 33, 4, 
2019/1/27, 46, 12, 27, 15, 3, 
2019/1/28, 38, 13, 33, 23, 4, 
2019/1/29, 27, 16, 29, 23, 5, 
2019/1/30, 35, 17, 29, 22, 5, 
2019/1/31, 33, 14, 21, 17, 4, 
2019/2/1, 28, 12, 30, 20, 3, 
2019/2/2, 27, 9, 32, 15, 4, 
2019/2/3, 25, 10, 28, 17, 5, 
2019/2/4, 28, 29, 9, 45, 4, 
2019/2/5, 66, 44, 11, 52, 7, 
2019/2/6, 84, 33, 11, 39, 6, 
2019/2/7, 69, 41, 8, 46, 7, 
2019/2/8, 83, 34, 18, 37, 7, 
2019/2/9, 72, 29, 17, 31, 5, 
2019/2/10, 72, 19, 20, 17, 5, 
2019/2/11, 52, 15, 26, 27, 5, 
2019/2/12, 32, 19, 26, 30, 7, 
2019/2/13, 41, 31, 23, 40, 6, 
2019/2/14, 62, 32, 21, 38, 7, 
2019/2/15, 62, 39, 16, 45, 7, 
2019/2/16, 75, 35, 33, 27, 5, 
2019/2/17, 66, 22, 34, 25, 5, 
2019/2/18, 47, 29, 21, 32, 5, 
2019/2/19, 55, 40, 25, 36, 5, 
2019/2/20, 65, 47, 29, 41, 4, 
2019/2/21, 69, 51, 31, 41, 5, 
2019/2/22, 72, 48, 28, 48, 6, 
2019/2/23, 68, 44, 24, 45, 6, 
2019/2/24, 67, 41, 40, 30, 5, 
2019/2/25, 66, 41, 31, 50, 6, 
2019/2/26, 68, 46, 32, 41, 5, 
2019/2/27, 72, 31, 33, 44, 5, 
2019/2/28, 52, 32, 24, 50, 6, 
2019/3/1, 55, 32, 38, 37, 4, 
2019/3/2, 60, 28, 36, 34, 4, 
2019/3/3, 60, 30, 36, 30, 4, 
2019/3/4, 55, 31, 33, 20, 4, 
2019/3/5, 39, 23, 34, 20, 3, 
2019/3/6, 29, 19, 31, 22, 3, 
2019/3/7, 30, 12, 35, 24, 4, 
2019/3/8, 23, 18, 29, 30, 4, 
2019/3/9, 46, 20, 34, 28, 4, 
2019/3/10, 57, 27, 27, 27, 4, 
2019/3/11, 69, 19, 30, 26, 4, 
2019/3/12, 57, 22, 34, 32, 4, 
2019/3/13, 60, 26, 37, 22, 5, 
2019/3/14, 72, 28, 32, 30, 4, 
2019/3/15, 79, 33, 27, 45, 5, 
2019/3/16, 77, 40, 37, 33, 4, 
2019/3/17, 89, 36, 34, 24, 4, 
2019/3/18, 81, 32, 35, 19, 5, 
2019/3/19, 80, 15, 38, 21, 6, 
2019/3/20, 48, 13, 37, 24, 5, 
2019/3/21, 47, 14, 37, 29, 4, 
2019/3/22, 43, 20, 40, 33, 4, 
2019/3/23, 50, 27, 38, 22, 4, 
2019/3/24, 68, 22, 38, 19, 4, 
2019/3/25, 59, 20, 40, 25, 4, 
2019/3/26, 53, 19, 41, 21, 4, 
2019/3/27, 56, 19, 32, 33, 4, 
2019/3/28, 51, 21, 41, 32, 4, 
2019/3/29, 49, 25, 44, 28, 4, 
2019/3/30, 47, 29, 47, 20, 4, 
2019/3/31, 43, 27, 33, 19, 4, 
2019/4/1, 49, 14, 30, 26, 4, 
2018/10/2, 47, 25, 31, 30, 2, 
2018/10/3, 40, 32, 28, 34, 3, 
2018/10/4, 44, 35, 33, 42, 3, 
2018/10/5, 52, 39, 41, 45, 3, 
2018/10/6, 67, 39, 46, 41, 2, 
2018/10/7, 69, 24, 35, 12, 2, 
2018/10/8, 41, 21, 29, 24, 3, 
2018/10/9, 29, 48, 32, 23, 3, 
2018/10/10, 35, 29, 27, 28, 3, 
2018/10/11, 48, 28, 20, 28, 2, 
2018/10/12, 64, 20, 23, 20, 3, 
2018/10/13, 56, 25, 31, 34, 3, 
2018/10/14, 64, 18, 31, 15, 2, 
2018/10/15, 50, 18, 26, 25, 3, 
2018/10/16, 44, 25, 26, 32, 4, 
2018/10/17, 55, 24, 32, 32, 4, 
2018/10/18, 54, 21, 29, 32, 4, 
2018/10/19, 52, 14, 23, 23, 4, 
2018/10/20, 40, 17, 28, 20, 3, 
2018/10/21, 39, 28, 27, 21, 3, 
2018/10/22, 53, 61, 28, 36, 4, 
2018/10/23, 68, 47, 32, 35, 4, 
2018/10/24, 67, 50, 23, 52, 4, 
2018/10/25, 82, 47, 29, 48, 4, 
2018/10/26, 77, 43, 11, 47, 4, 
2018/10/27, 80, 26, 23, 23, 4, 
2018/10/28, 63, 16, 29, 15, 4, 
2018/10/29, 50, 17, 30, 23, 4, 
2018/10/30, 54, 24, 24, 21, 3, 
2018/10/31, 68, 21, 23, 25, 4, 
2018/11/1, 65, 22, 26, 26, 4, 
2018/11/2, 60, 15, 25, 25, 4, 
2018/11/3, 45, 20, 24, 33, 5, 
2018/11/4, 52, 27, 23, 27, 5, 
2018/11/5, 66, 15, 29, 24, 4, 
2018/11/6, 49, 15, 28, 22, 4, 
2018/11/7, 37, 16, 26, 28, 5, 
2018/11/8, 43, 21, 20, 31, 5, 
2018/11/9, 57, 14, 31, 17, 4, 
2018/11/10, 38, 11, 27, 16, 4, 
2018/11/11, 31, 14, 65, 17, 3, 
2018/11/12, 40, 19, 27, 33, 4, 
2018/11/13, 49, 26, 13, 30, 4, 
2018/11/14, 56, 36, 18, 30, 4, 
2018/11/15, 62, 28, 24, 28, 3, 
2018/11/16, 58, 25, 14, 27, 4, 
2018/11/17, 57, 21, 23, 22, 4, 
2018/11/18, 53, 19, 23, 22, 4, 
2018/11/19, 50, 14, 26, 24, 4, 
2018/11/20, 39, 13, 27, 23, 3, 
2018/11/21, 39, 15, 29, 25, 3, 
2018/11/22, 41, 20, 20, 28, 4, 
2018/11/23, 53, 17, 28, 25, 4, 
2018/11/24, 44, 26, 13, 30, 5, 
2018/11/25, 66, 18, 25, 20, 4, 
2018/11/26, 52, 13, 32, 23, 4, 
2018/11/27, 32, 23, 24, 33, 4, 
2018/11/28, 50, 45, 7, 44, 6, 
2018/11/29, 86, 46, 7, 37, 5, 
2018/11/30, 91, 31, 66, 34, 5, 
2018/12/1, 69, 28, 147, 34, 4, 
2018/12/2, 64, 35, 73, 29, 4, 
2018/12/3, 82, 42, 8, 31, 5, 
2018/12/4, 99, 53, 5, 48, 7, 
2018/12/5, 105, 55, 6, 44, 7, 
2018/12/6, 108, 49, 11, 35, 6, 
2018/12/7, 103, 39, 14, 30, 4, 
2018/12/8, 88, 29, 26, 30, 4, 
2018/12/9, 74, 44, 7, 46, 6, 
2018/12/10, 107, 55, 4, 62, 8, 
2018/12/11, 110, 46, 7, 42, 6, 
2018/12/12, 85, 40, 11, 32, 5, 
2018/12/13, 88, 25, 31, 27, 4, 
2018/12/14, 65, 15, 29, 32, 4, 
2018/12/15, 38, 23, 19, 30, 4, 
2018/12/16, 57, 17, 28, 18, 3, 
2018/12/17, 43, 25, 27, 37, 4, 
2018/12/18, 49, 35, 9, 35, 6, 
2018/12/19, 68, 28, 19, 30, 4, 
2018/12/20, 64, 23, 17, 27, 5, 
2018/12/21, 54, 24, 19, 30, 4, 
2018/12/22, 61, 29, 11, 27, 4, 
2018/12/23, 77, 30, 8, 23, 5, 
2018/12/24, 80, 43, 7, 44, 7, 
2018/12/25, 99, 36, 9, 40, 5, 
2018/12/26, 80, 34, 7, 43, 6, 
2018/12/27, 73, 49, 4, 44, 7, 
2018/12/28, 101, 46, 14, 37, 6, 
2018/12/29, 99, 26, 21, 25, 6, 
2018/12/30, 62, 21, 18, 30, 6, 
2018/12/31, 51, , , , , 
2018/7/2, 63, 22, 44, 22, 2, 
2018/7/3, 52, 28, 47, 29, 2, 
2018/7/4, 57, 30, 43, 32, 2, 
2018/7/5, 59, 26, 60, 24, 2, 
2018/7/6, 54, 25, 51, 24, 2, 
2018/7/7, 52, 30, 51, 24, 3, 
2018/7/8, 66, 29, 55, 17, 2, 
2018/7/9, 66, 30, 52, 24, 2, 
2018/7/10, 65, 31, 63, 22, 2, 
2018/7/11, 68, 35, 61, 26, 2, 
2018/7/12, 68, 31, 65, 24, 2, 
2018/7/13, 65, 40, 55, 25, 3, 
2018/7/14, 71, 40, 51, 21, 2, 
2018/7/15, 76, 32, 42, 17, 2, 
2018/7/16, 64, 26, 51, 19, 2, 
2018/7/17, 59, 30, 59, 27, 2, 
2018/7/18, 62, 40, 51, 30, 2, 
2018/7/19, 66, 38, 50, 34, 2, 
2018/7/20, 68, 42, 45, 29, 2, 
2018/7/21, 72, 25, 47, 12, 2, 
2018/7/22, 57, 26, 56, 14, 1, 
2018/7/23, 58, 33, 52, 28, 1, 
2018/7/24, 65, 36, 46, 27, 2, 
2018/7/25, 70, 36, 51, 31, 2, 
2018/7/26, 67, 41, 51, 36, 2, 
2018/7/27, 77, 39, 50, 34, 2, 
2018/7/28, 72, 32, 54, 21, 1, 
2018/7/29, 66, 27, 46, 14, 1, 
2018/7/30, 61, 37, 48, 29, 2, 
2018/7/31, 78, 37, 60, 31, 2, 
2018/8/1, 71, 42, 78, 39, 2, 
2018/8/2, 78, 50, 65, 42, 2, 
2018/8/3, 88, 59, 57, 28, 2, 
2018/8/4, 100, 58, 60, 15, 2, 
2018/8/5, 90, 53, 67, 16, 2, 
2018/8/6, 84, 60, 60, 28, 2, 
2018/8/7, 97, 73, 45, 26, 2, 
2018/8/8, 108, 56, 49, 22, 2, 
2018/8/9, 80, 37, 51, 19, 1, 
2018/8/10, 65, 34, 47, 15, 1, 
2018/8/11, 63, 44, 60, 18, 1, 
2018/8/12, 79, 48, 50, 22, 2, 
2018/8/13, 82, 39, 41, 20, 2, 
2018/8/14, 74, 29, 56, 17, 2, 
2018/8/15, 63, 30, 49, 15, 3, 
2018/8/16, 64, 41, 45, 19, 4, 
2018/8/17, 78, 32, 60, 16, 4, 
2018/8/18, 66, 24, 52, 9, 4, 
2018/8/19, 59, 29, 50, 16, 5, 
2018/8/20, 68, 36, 55, 21, 5, 
2018/8/21, 70, 35, 60, 28, 2, 
2018/8/22, 68, 37, 60, 25, 2, 
2018/8/23, 74, 42, 62, 32, 2, 
2018/8/24, 80, 41, 56, 22, 2, 
2018/8/25, 85, 34, 53, 14, 1, 
2018/8/26, 77, 33, 51, 16, 1, 
2018/8/27, 71, 41, 61, 36, 2, 
2018/8/28, 81, 55, 45, 33, 2, 
2018/8/29, 99, 54, 50, 32, 2, 
2018/8/30, 92, 56, 56, 25, 2, 
2018/8/31, 94, 52, 60, 25, 2, 
2018/9/1, 103, 45, 59, 20, 2, 
2018/9/2, 97, 57, 52, 22, 2, 
2018/9/3, 111, 63, 51, 27, 2, 
2018/9/4, 124, 62, 52, 28, 2, 
2018/9/5, 119, 58, 42, 25, 2, 
2018/9/6, 106, 56, 50, 26, 2, 
2018/9/7, 148, 41, 48, 21, 1, 
2018/9/8, 89, 23, 34, 22, 1, 
2018/9/9, 59, 23, 46, 25, 2, 
2018/9/10, 61, 19, 43, 21, 1, 
2018/9/11, 53, 22, 44, 23, 1, 
2018/9/12, 58, 28, 50, 30, 2, 
2018/9/13, 59, 32, 59, 41, 2, 
2018/9/14, 69, 28, 59, 32, 2, 
2018/9/15, 59, 28, 46, 20, 1, 
2018/9/16, 57, 23, 48, 19, 2, 
2018/9/17, 46, 31, 41, 29, 2, 
2018/9/18, 55, 31, 38, 31, 2, 
2018/9/19, 58, 33, 53, 38, 2, 
2018/9/20, 66, 39, 51, 42, 2, 
2018/9/21, 69, 35, 52, 39, 2, 
2018/9/22, 62, 34, 51, 31, 2, 
2018/9/23, 65, 33, 57, 32, 2, 
2018/9/24, 65, 22, 38, 22, 2, 
2018/9/25, 47, 31, 45, 32, 2, 
2018/9/26, 52, 33, 33, 19, 2, 
2018/9/27, 54, 36, 41, 35, 2, 
2018/9/28, 59, 37, 44, 40, 3, 
2018/9/29, 61, 35, 48, 35, 2, 
2018/9/30, 66, 32, 46, 32, 3, 
2018/10/1, 67, 22, 37, 23, 2, 
2018/4/2, 37, 14, 39, 26, 2, 
2018/4/3, 40, 12, 36, 19, 1, 
2018/4/4, 34, 10, 39, 19, 1, 
2018/4/5, 25, 16, 37, 31, 2, 
2018/4/6, 41, 21, 25, 39, 2, 
2018/4/7, 48, 15, 39, 23, 1, 
2018/4/8, 34, 8, 36, 18, 2, 
2018/4/9, 29, 7, 42, 21, 1, 
2018/4/10, 23, 7, 38, 26, 1, 
2018/4/11, 24, 7, 39, 30, 1, 
2018/4/12, 25, 9, 38, 26, 2, 
2018/4/13, 30, 9, 40, 28, 1, 
2018/4/14, 30, 11, 41, 29, 2, 
2018/4/15, 41, 9, 32, 19, 1, 
2018/4/16, 35, 9, 41, 21, 1, 
2018/4/17, 30, 16, 37, 34, 2, 
2018/4/18, 44, 18, 45, 36, 2, 
2018/4/19, 51, 32, 48, 25, 2, 
2018/4/20, 55, 48, 41, 21, 1, 
2018/4/21, 60, 50, 36, 22, 1, 
2018/4/22, 63, 46, 39, 28, 1, 
2018/4/23, 67, 40, 31, 30, , 
2018/4/24, 59, 38, 39, 28, , 
2018/4/25, 54, 39, 39, 31, , 
2018/4/26, 58, 40, 47, 32, 1, 
2018/4/27, 62, 34, 42, 25, 1, 
2018/4/28, 57, 18, 42, 14, , 
2018/4/29, 44, 12, 39, 14, 1, 
2018/4/30, 28, 8, 41, 19, 1, 
2018/5/1, 26, 7, 43, 16, 1, 
2018/5/2, 23, 9, 42, 22, 1, 
2018/5/3, 32, 14, 45, 29, 2, 
2018/5/4, 36, 13, 41, 22, 1, 
2018/5/5, 32, 19, 46, 19, 2, 
2018/5/6, 48, 18, 48, 15, 1, 
2018/5/7, 49, 18, 38, 30, 3, 
2018/5/8, 51, 18, 39, 35, 2, 
2018/5/9, 49, 20, 46, 29, 1, 
2018/5/10, 58, 15, 45, 24, 1, 
2018/5/11, 45, 20, 45, 29, 1, 
2018/5/12, 52, 19, 42, 17, 1, 
