date, pm25, o3, no2, so2, co
2019/3/8, 26, 15, 3, 5, 
2019/3/9, 33, 14, 2, 11, 
2019/3/10, 35, 12, 2, 11, 
2019/3/11, 17, 15, 1, , 
2019/3/12, 17, 19, 1, , 
2019/3/13, 12, 20, 6, , 
2019/3/14, 30, 20, 2, , 
2019/3/15, 40, 15, 1, , 
2019/3/16, 34, 18, , , 
2019/3/17, 15, 19, 1, , 
2019/3/18, 17, 17, 3, , 
2019/3/19, 27, 20, 6, , 
2019/3/20, 32, 20, 6, , 
2019/3/21, 36, 16, 1, , 
2019/3/22, 25, 17, , , 
2019/3/23, 22, , , , 
2018/10/2, 43, 16, 2, , 
2018/10/3, 39, 16, 2, , 
2018/10/4, 41, 15, 3, , 
2018/10/5, 43, 7, 1, , 
2018/10/6, 40, 13, , , 
2018/10/7, 32, 17, 1, , 
2018/10/8, 40, 15, 1, , 
2018/10/9, 24, 14, , , 
2018/10/10, 24, 10, , , 
